RD_NO,CRASH_DATE_EST_I,CRASH_DATE,POSTED_SPEED_LIMIT,TRAFFIC_CONTROL_DEVICE,DEVICE_CONDITION,WEATHER_CONDITION,LIGHTING_CONDITION,FIRST_CRASH_TYPE,TRAFFICWAY_TYPE,LANE_CNT,ALIGNMENT,ROADWAY_SURFACE_COND,ROAD_DEFECT,REPORT_TYPE,CRASH_TYPE,INTERSECTION_RELATED_I,NOT_RIGHT_OF_WAY_I,HIT_AND_RUN_I,DAMAGE,DATE_POLICE_NOTIFIED,PRIM_CONTRIBUTORY_CAUSE,SEC_CONTRIBUTORY_CAUSE,STREET_NO,STREET_DIRECTION,STREET_NAME,BEAT_OF_OCCURRENCE,PHOTOS_TAKEN_I,STATEMENTS_TAKEN_I,DOORING_I,WORK_ZONE_I,WORK_ZONE_TYPE,WORKERS_PRESENT_I,NUM_UNITS,MOST_SEVERE_INJURY,INJURIES_TOTAL,INJURIES_FATAL,INJURIES_INCAPACITATING,INJURIES_NON_INCAPACITATING,INJURIES_REPORTED_NOT_EVIDENT,INJURIES_NO_INDICATION,INJURIES_UNKNOWN,CRASH_HOUR,CRASH_DAY_OF_WEEK,CRASH_MONTH,LATITUDE,LONGITUDE,LOCATION
JB511765,,11/11/2018 08:30:00 AM,35,TRAFFIC SIGNAL,FUNCTIONING PROPERLY,CLEAR,DAYLIGHT,ANGLE,NOT DIVIDED,4,STRAIGHT AND LEVEL,DRY,NO DEFECTS,ON SCENE,INJURY AND / OR TOW DUE TO CRASH,Y,,,"OVER $1,500",11/11/2018 08:38:00 AM,UNABLE TO DETERMINE,NOT APPLICABLE,6000,N,LINCOLN AVE,2413,,,,,,,2,NO INDICATION OF INJURY,0,0,0,0,0,4,0,8,1,11,41.990336639,-87.707534415,POINT (-87.707534414707 41.990336639159)
JB512163,Y,11/11/2018 08:00:00 AM,20,NO CONTROLS,NO CONTROLS,CLEAR,UNKNOWN,PARKED MOTOR VEHICLE,ONE-WAY,1,STRAIGHT AND LEVEL,UNKNOWN,NO DEFECTS,ON SCENE,NO INJURY / DRIVE AWAY,,,,"OVER $1,500",11/11/2018 03:46:00 PM,NOT APPLICABLE,NOT APPLICABLE,3616,W,DOUGLAS BLVD,1011,,,,,,,2,NO INDICATION OF INJURY,0,0,0,0,0,1,0,8,1,11,41.862953405,-87.716115677,POINT (-87.716115677329 41.86295340513)
JB511746,,11/11/2018 08:00:00 AM,30,TRAFFIC SIGNAL,FUNCTIONING PROPERLY,CLEAR,DAYLIGHT,REAR END,DIVIDED - W/MEDIAN (NOT RAISED),,STRAIGHT AND LEVEL,DRY,UNKNOWN,ON SCENE,NO INJURY / DRIVE AWAY,Y,,Y,"$501 - $1,500",11/11/2018 08:10:00 AM,"OPERATING VEHICLE IN ERRATIC, RECKLESS, CARELESS, NEGLIGENT OR AGGRESSIVE MANNER",NOT APPLICABLE,6700,S,WESTERN AVE,832,,,,,,,2,NO INDICATION OF INJURY,0,0,0,0,0,2,0,8,1,11,41.771884028,-87.683588402,POINT (-87.683588402063 41.771884027712)
JB511742,,11/11/2018 07:45:00 AM,30,NO CONTROLS,NO CONTROLS,CLEAR,DAYLIGHT,PARKED MOTOR VEHICLE,NOT DIVIDED,,STRAIGHT AND LEVEL,DRY,NO DEFECTS,NOT ON SCENE (DESK REPORT),NO INJURY / DRIVE AWAY,,,,"OVER $1,500",11/11/2018 08:10:00 AM,"EVASIVE ACTION DUE TO ANIMAL, OBJECT, NONMOTORIST",NOT APPLICABLE,4608,W,DIVERSEY AVE,2521,,,,,,,2,NO INDICATION OF INJURY,0,0,0,0,0,1,0,7,1,11,41.931699278,-87.742310354,POINT (-87.742310353965 41.931699278328)
JB511735,,11/11/2018 07:45:00 AM,35,TRAFFIC SIGNAL,FUNCTIONING PROPERLY,CLEAR,DAYLIGHT,ANGLE,NOT DIVIDED,,STRAIGHT AND LEVEL,DRY,NO DEFECTS,ON SCENE,NO INJURY / DRIVE AWAY,,,,"OVER $1,500",11/11/2018 07:50:00 AM,UNABLE TO DETERMINE,UNABLE TO DETERMINE,8650,S,PULASKI RD,834,,,,,,,2,NO INDICATION OF INJURY,0,0,0,0,0,2,0,7,1,11,41.735137421,-87.721593872,POINT (-87.7215938722 41.735137420588)
JB511740,,11/11/2018 07:05:00 AM,30,TRAFFIC SIGNAL,FUNCTIONING PROPERLY,CLEAR,DAYLIGHT,ANGLE,DIVIDED - W/MEDIAN (NOT RAISED),6,STRAIGHT AND LEVEL,DRY,NO DEFECTS,ON SCENE,INJURY AND / OR TOW DUE TO CRASH,Y,,Y,"OVER $1,500",11/11/2018 07:36:00 AM,UNABLE TO DETERMINE,DISREGARDING TRAFFIC SIGNALS,5501,S,RACINE AVE,712,,N,,,,,2,NO INDICATION OF INJURY,0,0,0,0,0,2,0,7,1,11,41.793730687,-87.654716647,POINT (-87.654716646947 41.793730686971)
JB511717,,11/11/2018 06:45:00 AM,30,TRAFFIC SIGNAL,FUNCTIONING PROPERLY,CLEAR,DAYLIGHT,REAR END,NOT DIVIDED,,STRAIGHT AND LEVEL,DRY,NO DEFECTS,NOT ON SCENE (DESK REPORT),NO INJURY / DRIVE AWAY,Y,,Y,"OVER $1,500",11/11/2018 07:00:00 AM,FAILING TO REDUCE SPEED TO AVOID CRASH,NOT APPLICABLE,1755,N,CENTRAL AVE,2532,,,,,,,2,NO INDICATION OF INJURY,0,0,0,0,0,2,0,6,1,11,41.9128515,-87.765488892,POINT (-87.765488892039 41.912851499712)
JB512147,,11/11/2018 06:30:00 AM,30,NO CONTROLS,NO CONTROLS,CLEAR,DAYLIGHT,TURNING,DIVIDED - W/MEDIAN (NOT RAISED),,STRAIGHT AND LEVEL,DRY,NO DEFECTS,NOT ON SCENE (DESK REPORT),NO INJURY / DRIVE AWAY,,,,"OVER $1,500",11/11/2018 03:45:00 PM,IMPROPER TURNING/NO SIGNAL,NOT APPLICABLE,5266,W,55TH ST,814,,,,,,,2,NO INDICATION OF INJURY,0,0,0,0,0,2,0,6,1,11,41.792959459,-87.754916204,POINT (-87.75491620426 41.79295945892)
JB511706,,11/11/2018 06:10:00 AM,25,NO CONTROLS,NO CONTROLS,CLEAR,DAWN,PARKED MOTOR VEHICLE,DIVIDED - W/MEDIAN (NOT RAISED),2,STRAIGHT AND LEVEL,DRY,NO DEFECTS,ON SCENE,INJURY AND / OR TOW DUE TO CRASH,,,Y,"OVER $1,500",11/11/2018 06:15:00 AM,UNABLE TO DETERMINE,UNABLE TO DETERMINE,3444,N,BROADWAY,1925,,,,,,,2,NO INDICATION OF INJURY,0,0,0,0,0,1,0,6,1,11,41.944418656,-87.645641608,POINT (-87.645641607685 41.944418655579)
JB511712,,11/11/2018 06:04:00 AM,30,NO CONTROLS,NO CONTROLS,CLEAR,DAWN,PARKED MOTOR VEHICLE,NOT DIVIDED,,STRAIGHT AND LEVEL,DRY,NO DEFECTS,ON SCENE,INJURY AND / OR TOW DUE TO CRASH,,,Y,"OVER $1,500",11/11/2018 06:35:00 AM,HAD BEEN DRINKING (USE WHEN ARREST IS NOT MADE),NOT APPLICABLE,521,N,KEDZIE AVE,1221,,,,,,,3,NO INDICATION OF INJURY,0,0,0,0,0,1,0,6,1,11,41.890986138,-87.706267507,POINT (-87.706267507208 41.890986137651)
JB511710,,11/11/2018 06:00:00 AM,30,NO CONTROLS,NO CONTROLS,CLEAR,"DARKNESS, LIGHTED ROAD",FIXED OBJECT,DIVIDED - W/MEDIAN (NOT RAISED),4,STRAIGHT AND LEVEL,DRY,NO DEFECTS,ON SCENE,INJURY AND / OR TOW DUE TO CRASH,,,,"OVER $1,500",11/11/2018 06:09:00 AM,PHYSICAL CONDITION OF DRIVER,NOT APPLICABLE,3929,S,WESTERN BLVD,924,,,,,,,1,NO INDICATION OF INJURY,0,0,0,0,0,1,0,6,1,11,41.822127639,-87.684084661,POINT (-87.68408466136 41.82212763942)
JB511703,,11/11/2018 06:00:00 AM,30,TRAFFIC SIGNAL,FUNCTIONING PROPERLY,CLEAR,"DARKNESS, LIGHTED ROAD",FIXED OBJECT,NOT DIVIDED,2,STRAIGHT AND LEVEL,DRY,NO DEFECTS,ON SCENE,INJURY AND / OR TOW DUE TO CRASH,,,,"OVER $1,500",11/11/2018 06:11:00 AM,PHYSICAL CONDITION OF DRIVER,UNABLE TO DETERMINE,3300,W,LAKE ST,1123,,,,,,,1,NO INDICATION OF INJURY,0,0,0,0,0,1,0,6,1,11,41.88461764,-87.708910176,POINT (-87.708910176251 41.884617640072)
JB511704,Y,11/11/2018 05:55:00 AM,30,NO CONTROLS,NO CONTROLS,CLEAR,DAWN,PARKED MOTOR VEHICLE,DIVIDED - W/MEDIAN BARRIER,,STRAIGHT AND LEVEL,DRY,NO DEFECTS,ON SCENE,INJURY AND / OR TOW DUE TO CRASH,,,,"OVER $1,500",11/11/2018 06:00:00 AM,DISTRACTION - FROM OUTSIDE VEHICLE,DRIVING SKILLS/KNOWLEDGE/EXPERIENCE,2117,N,KEDZIE AVE,1414,,,,,,,4,NONINCAPACITATING INJURY,1,0,0,1,0,0,0,5,1,11,41.919792047,-87.706904309,POINT (-87.706904309429 41.919792046663)
JB511691,N,11/11/2018 05:30:00 AM,30,TRAFFIC SIGNAL,FUNCTIONING PROPERLY,UNKNOWN,"DARKNESS, LIGHTED ROAD",SIDESWIPE SAME DIRECTION,DIVIDED - W/MEDIAN (NOT RAISED),,STRAIGHT AND LEVEL,UNKNOWN,UNKNOWN,ON SCENE,NO INJURY / DRIVE AWAY,,,,"OVER $1,500",11/11/2018 05:50:00 AM,DISREGARDING ROAD MARKINGS,UNABLE TO DETERMINE,500,W,GRAND AVE,1831,,,,,,,2,NO INDICATION OF INJURY,0,0,0,0,0,3,0,5,1,11,41.891514687,-87.641285916,POINT (-87.641285915708 41.891514687191)
JB511686,Y,11/11/2018 05:21:00 AM,30,NO CONTROLS,NO CONTROLS,CLEAR,"DARKNESS, LIGHTED ROAD",FIXED OBJECT,NOT DIVIDED,4,STRAIGHT AND LEVEL,DRY,NO DEFECTS,ON SCENE,INJURY AND / OR TOW DUE TO CRASH,,,,"OVER $1,500",11/11/2018 05:24:00 AM,UNABLE TO DETERMINE,NOT APPLICABLE,853,W,FOSTER AVE,2024,,,,,,,1,NO INDICATION OF INJURY,0,0,0,0,0,1,0,5,1,11,41.976330126,-87.652167759,POINT (-87.652167759257 41.976330125968)
JB511688,,11/11/2018 05:17:00 AM,20,NO CONTROLS,NO CONTROLS,CLEAR,"DARKNESS, LIGHTED ROAD",PARKED MOTOR VEHICLE,NOT DIVIDED,2,STRAIGHT AND LEVEL,DRY,NO DEFECTS,ON SCENE,INJURY AND / OR TOW DUE TO CRASH,,,Y,"OVER $1,500",11/11/2018 05:48:00 AM,NOT APPLICABLE,NOT APPLICABLE,1914,E,72ND ST,333,,,,,,,2,NO INDICATION OF INJURY,0,0,0,0,0,1,0,5,1,11,41.764418371,-87.578629106,POINT (-87.578629105559 41.764418370583)
JB512076,,11/11/2018 05:00:00 AM,30,NO CONTROLS,NO CONTROLS,CLEAR,DAWN,FIXED OBJECT,NOT DIVIDED,1,STRAIGHT AND LEVEL,DRY,NO DEFECTS,NOT ON SCENE (DESK REPORT),NO INJURY / DRIVE AWAY,,Y,,"OVER $1,500",11/11/2018 02:45:00 PM,UNABLE TO DETERMINE,NOT APPLICABLE,413,N,CARPENTER ST,1214,,,,,,,1,NO INDICATION OF INJURY,0,0,0,0,0,1,0,5,1,11,41.889400524,-87.653264771,POINT (-87.653264770548 41.889400524481)
JB511707,,11/11/2018 05:00:00 AM,20,NO CONTROLS,NO CONTROLS,CLEAR,DARKNESS,PARKED MOTOR VEHICLE,ONE-WAY,1,STRAIGHT AND LEVEL,DRY,NO DEFECTS,ON SCENE,INJURY AND / OR TOW DUE TO CRASH,,,Y,"OVER $1,500",11/11/2018 06:16:00 AM,UNABLE TO DETERMINE,UNABLE TO DETERMINE,5427,W,LELAND AVE,1623,,,,,,,2,NO INDICATION OF INJURY,0,0,0,0,0,1,0,5,1,11,41.965438772,-87.763612269,POINT (-87.763612268785 41.965438772101)
JB511681,,11/11/2018 04:55:00 AM,30,TRAFFIC SIGNAL,FUNCTIONING IMPROPERLY,CLEAR,"DARKNESS, LIGHTED ROAD",ANGLE,DIVIDED - W/MEDIAN BARRIER,4,STRAIGHT AND LEVEL,DRY,NO DEFECTS,ON SCENE,INJURY AND / OR TOW DUE TO CRASH,Y,,Y,"OVER $1,500",11/11/2018 04:59:00 AM,EXCEEDING AUTHORIZED SPEED LIMIT,DISREGARDING TRAFFIC SIGNALS,300,S,MICHIGAN AVE,113,,,,,,,2,INCAPACITATING INJURY,5,0,2,3,0,1,0,4,1,11,41.878217345,-87.62445584,POINT (-87.624455840297 41.878217345311)
JB511670,,11/11/2018 04:45:00 AM,30,NO CONTROLS,NO CONTROLS,CLEAR,"DARKNESS, LIGHTED ROAD",PARKED MOTOR VEHICLE,ONE-WAY,2,STRAIGHT AND LEVEL,DRY,NO DEFECTS,ON SCENE,INJURY AND / OR TOW DUE TO CRASH,,,,"OVER $1,500",11/11/2018 04:52:00 AM,UNABLE TO DETERMINE,UNABLE TO DETERMINE,1218,S,INDEPENDENCE BLVD,1011,,,,,,,3,NO INDICATION OF INJURY,0,0,0,0,0,1,0,4,1,11,41.865633715,-87.720251589,POINT (-87.72025158942 41.865633714739)
JB511664,,11/11/2018 04:39:00 AM,20,NO CONTROLS,NO CONTROLS,CLEAR,"DARKNESS, LIGHTED ROAD",PARKED MOTOR VEHICLE,NOT DIVIDED,1,STRAIGHT AND LEVEL,DRY,UNKNOWN,,INJURY AND / OR TOW DUE TO CRASH,,,Y,"OVER $1,500",11/11/2018 04:40:00 AM,UNABLE TO DETERMINE,UNABLE TO DETERMINE,5251,S,KOSTNER AVE,815,,,,,,,2,NO INDICATION OF INJURY,0,0,0,0,0,1,0,4,1,11,41.797101398,-87.732929691,POINT (-87.732929691428 41.79710139801)
JB512036,,11/11/2018 04:30:00 AM,35,TRAFFIC SIGNAL,FUNCTIONING PROPERLY,CLEAR,DAWN,TURNING,NOT DIVIDED,4,STRAIGHT AND LEVEL,DRY,NO DEFECTS,NOT ON SCENE (DESK REPORT),NO INJURY / DRIVE AWAY,,,Y,"OVER $1,500",11/11/2018 02:00:00 PM,FAILING TO YIELD RIGHT-OF-WAY,NOT APPLICABLE,1177,N,ELSTON AVE,1213,,,,,,,2,NO INDICATION OF INJURY,0,0,0,0,0,2,0,4,1,11,41.903434198,-87.658086648,POINT (-87.658086647585 41.903434198336)
JB511666,,11/11/2018 04:30:00 AM,30,NO CONTROLS,NO CONTROLS,CLEAR,"DARKNESS, LIGHTED ROAD",PARKED MOTOR VEHICLE,NOT DIVIDED,1,STRAIGHT AND LEVEL,DRY,NO DEFECTS,,INJURY AND / OR TOW DUE TO CRASH,,,Y,"OVER $1,500",11/11/2018 04:38:00 AM,UNABLE TO DETERMINE,NOT APPLICABLE,7041,W,HIGGINS AVE,1613,,,,,,,2,NO INDICATION OF INJURY,0,0,0,0,0,2,0,4,1,11,41.980345545,-87.80395009,POINT (-87.803950090338 41.980345544627)
JB511699,,11/11/2018 04:25:00 AM,35,NO CONTROLS,NO CONTROLS,CLEAR,"DARKNESS, LIGHTED ROAD",PARKED MOTOR VEHICLE,NOT DIVIDED,4,STRAIGHT AND LEVEL,DRY,NO DEFECTS,ON SCENE,INJURY AND / OR TOW DUE TO CRASH,,,,"OVER $1,500",11/11/2018 04:29:00 AM,EQUIPMENT - VEHICLE CONDITION,NOT APPLICABLE,5023,W,FULLERTON AVE,2522,,,,,,,3,NO INDICATION OF INJURY,0,0,0,0,0,1,0,4,1,11,41.924052051,-87.752185156,POINT (-87.752185156214 41.924052051275)
JB511663,,11/11/2018 04:22:00 AM,30,NO CONTROLS,NO CONTROLS,CLEAR,"DARKNESS, LIGHTED ROAD",OTHER OBJECT,OTHER,1,STRAIGHT AND LEVEL,WET,NO DEFECTS,ON SCENE,INJURY AND / OR TOW DUE TO CRASH,,Y,,"OVER $1,500",11/11/2018 04:22:00 AM,UNABLE TO DETERMINE,UNABLE TO DETERMINE,5426,W,ROOSEVELT RD,1522,,,,,,,1,NO INDICATION OF INJURY,0,0,0,0,0,2,0,4,1,11,41.8657746,-87.760298309,POINT (-87.76029830858 41.865774599675)
JB511650,,11/11/2018 04:05:00 AM,30,TRAFFIC SIGNAL,FUNCTIONING PROPERLY,CLEAR,"DARKNESS, LIGHTED ROAD",REAR END,CENTER TURN LANE,1,STRAIGHT AND LEVEL,DRY,NO DEFECTS,ON SCENE,NO INJURY / DRIVE AWAY,Y,,,$500 OR LESS,11/11/2018 04:06:00 AM,FAILING TO REDUCE SPEED TO AVOID CRASH,DISTRACTION - FROM OUTSIDE VEHICLE,4802,W,DIVERSEY AVE,2521,,,,,,,2,NO INDICATION OF INJURY,0,0,0,0,0,2,0,4,1,11,41.931640556,-87.746796298,POINT (-87.746796297552 41.931640556258)
JB512215,Y,11/11/2018 04:00:00 AM,25,NO CONTROLS,NO CONTROLS,CLEAR,DAYLIGHT,PARKED MOTOR VEHICLE,ONE-WAY,1,STRAIGHT AND LEVEL,DRY,NO DEFECTS,ON SCENE,NO INJURY / DRIVE AWAY,,,Y,"OVER $1,500",11/11/2018 02:54:00 PM,NOT APPLICABLE,NOT APPLICABLE,6456,N,BELL AVE,2412,,,,,,,4,NO INDICATION OF INJURY,0,0,0,0,0,1,0,4,1,11,41.999456642,-87.686421572,POINT (-87.686421572093 41.999456642331)
JB511705,,11/11/2018 04:00:00 AM,35,NO CONTROLS,NO CONTROLS,CLEAR,"DARKNESS, LIGHTED ROAD",PARKED MOTOR VEHICLE,DIVIDED - W/MEDIAN (NOT RAISED),6,STRAIGHT AND LEVEL,DRY,NO DEFECTS,NOT ON SCENE (DESK REPORT),NO INJURY / DRIVE AWAY,,,Y,"OVER $1,500",11/11/2018 06:30:00 AM,EXCEEDING SAFE SPEED FOR CONDITIONS,FAILING TO REDUCE SPEED TO AVOID CRASH,1543,N,KINGSBURY ST,1822,,,,,,,2,NO INDICATION OF INJURY,0,0,0,0,0,1,0,4,1,11,41.909354094,-87.652669959,POINT (-87.652669958631 41.90935409449)
JB511647,,11/11/2018 04:00:00 AM,5,NO CONTROLS,NO CONTROLS,CLEAR,DUSK,PARKED MOTOR VEHICLE,PARKING LOT,,STRAIGHT ON HILLCREST,DRY,NO DEFECTS,ON SCENE,NO INJURY / DRIVE AWAY,,,Y,"OVER $1,500",11/11/2018 04:14:00 AM,UNABLE TO DETERMINE,UNABLE TO DETERMINE,111,W,KINZIE ST,1831,,,,,,,2,NO INDICATION OF INJURY,0,0,0,0,0,1,0,4,1,11,41.889095178,-87.631569424,POINT (-87.631569424082 41.88909517779)
JB511637,,11/11/2018 03:37:00 AM,30,TRAFFIC SIGNAL,FUNCTIONING PROPERLY,CLEAR,DARKNESS,ANGLE,NOT DIVIDED,2,STRAIGHT AND LEVEL,DRY,NO DEFECTS,ON SCENE,INJURY AND / OR TOW DUE TO CRASH,Y,,,"OVER $1,500",11/11/2018 03:40:00 AM,UNDER THE INFLUENCE OF ALCOHOL/DRUGS (USE WHEN ARREST IS EFFECTED),DISREGARDING TRAFFIC SIGNALS,101,N,CENTRAL AVE,1523,,,,,,,2,NO INDICATION OF INJURY,0,0,0,0,0,3,0,3,1,11,41.88234808,-87.764784475,POINT (-87.764784474593 41.882348079553)
JB511625,,11/11/2018 03:31:00 AM,35,OTHER,UNKNOWN,CLEAR,DARKNESS,REAR END,NOT DIVIDED,,STRAIGHT AND LEVEL,DRY,NO DEFECTS,ON SCENE,NO INJURY / DRIVE AWAY,,,Y,"OVER $1,500",11/11/2018 03:32:00 AM,FOLLOWING TOO CLOSELY,NOT APPLICABLE,3558,W,FULLERTON AVE,1413,,,,,,,2,NO INDICATION OF INJURY,0,0,0,0,0,2,0,3,1,11,41.924713875,-87.716935157,POINT (-87.716935156593 41.92471387507)
JB511627,,11/11/2018 03:20:00 AM,35,TRAFFIC SIGNAL,FUNCTIONING PROPERLY,CLEAR,"DARKNESS, LIGHTED ROAD",REAR END,NOT DIVIDED,4,STRAIGHT AND LEVEL,DRY,NO DEFECTS,ON SCENE,NO INJURY / DRIVE AWAY,N,,Y,"$501 - $1,500",11/11/2018 03:26:00 AM,UNABLE TO DETERMINE,UNABLE TO DETERMINE,4300,S,WESTERN AVE,922,,,,,,,2,NO INDICATION OF INJURY,0,0,0,0,0,3,0,3,1,11,41.815603205,-87.684772724,POINT (-87.684772723609 41.815603204509)
JB511635,,11/11/2018 03:11:00 AM,30,NO CONTROLS,NO CONTROLS,CLEAR,"DARKNESS, LIGHTED ROAD",PARKED MOTOR VEHICLE,DIVIDED - W/MEDIAN (NOT RAISED),,STRAIGHT AND LEVEL,DRY,NO DEFECTS,ON SCENE,INJURY AND / OR TOW DUE TO CRASH,,,,"OVER $1,500",11/11/2018 03:17:00 AM,IMPROPER LANE USAGE,UNABLE TO DETERMINE,817,S,CENTRAL PARK AVE,1133,,,,,,,2,NO INDICATION OF INJURY,0,0,0,0,0,1,0,3,1,11,41.870259035,-87.715396291,POINT (-87.715396290887 41.870259035104)
JB511620,,11/11/2018 02:55:00 AM,30,NO CONTROLS,NO CONTROLS,CLEAR,"DARKNESS, LIGHTED ROAD",PARKED MOTOR VEHICLE,NOT DIVIDED,4,STRAIGHT AND LEVEL,DRY,NO DEFECTS,ON SCENE,INJURY AND / OR TOW DUE TO CRASH,,,,"OVER $1,500",11/11/2018 02:59:00 AM,UNDER THE INFLUENCE OF ALCOHOL/DRUGS (USE WHEN ARREST IS EFFECTED),UNDER THE INFLUENCE OF ALCOHOL/DRUGS (USE WHEN ARREST IS EFFECTED),4951,N,WESTERN AVE,2031,,,,,,,2,NO INDICATION OF INJURY,0,0,0,0,0,1,0,2,1,11,41.971840858,-87.688869957,POINT (-87.688869956883 41.971840857791)
JB511610,,11/11/2018 02:45:00 AM,30,NO CONTROLS,NO CONTROLS,CLEAR,DARKNESS,SIDESWIPE SAME DIRECTION,NOT DIVIDED,,STRAIGHT AND LEVEL,DRY,NO DEFECTS,NOT ON SCENE (DESK REPORT),NO INJURY / DRIVE AWAY,,,Y,"$501 - $1,500",11/11/2018 02:50:00 AM,FOLLOWING TOO CLOSELY,UNABLE TO DETERMINE,6100,S,ASHLAND AVE,714,,,,,,,2,NO INDICATION OF INJURY,0,0,0,0,0,2,0,2,1,11,41.783017612,-87.664454012,POINT (-87.664454012253 41.783017611514)
JB512246,,11/11/2018 02:30:00 AM,20,STOP SIGN/FLASHER,FUNCTIONING PROPERLY,CLEAR,"DARKNESS, LIGHTED ROAD",PARKED MOTOR VEHICLE,ONE-WAY,1,STRAIGHT AND LEVEL,DRY,NO DEFECTS,NOT ON SCENE (DESK REPORT),NO INJURY / DRIVE AWAY,,,Y,$500 OR LESS,11/11/2018 05:00:00 PM,UNABLE TO DETERMINE,UNABLE TO DETERMINE,4555,N,CHRISTIANA AVE,1724,,,,,,,2,NO INDICATION OF INJURY,0,0,0,0,0,1,0,2,1,11,41.964586852,-87.711874974,POINT (-87.711874974157 41.964586852178)
JB511967,,11/11/2018 02:18:00 AM,30,NO CONTROLS,NO CONTROLS,CLEAR,"DARKNESS, LIGHTED ROAD",TURNING,NOT DIVIDED,4,STRAIGHT AND LEVEL,DRY,NO DEFECTS,NOT ON SCENE (DESK REPORT),NO INJURY / DRIVE AWAY,,,Y,"OVER $1,500",11/11/2018 12:43:00 PM,IMPROPER TURNING/NO SIGNAL,NOT APPLICABLE,5536,S,ARCHER AVE,814,,,,,,,2,NO INDICATION OF INJURY,0,0,0,0,0,2,0,2,1,11,41.798044419,-87.747959099,POINT (-87.747959099206 41.798044419264)
JB511628,,11/11/2018 02:15:00 AM,30,NO CONTROLS,NO CONTROLS,CLEAR,"DARKNESS, LIGHTED ROAD",REAR END,NOT DIVIDED,1,STRAIGHT AND LEVEL,DRY,NO DEFECTS,ON SCENE,INJURY AND / OR TOW DUE TO CRASH,,,Y,"OVER $1,500",11/11/2018 02:59:00 AM,UNABLE TO DETERMINE,UNABLE TO DETERMINE,5612,S,LAKE PARK AVE,235,,,,,,,2,NO INDICATION OF INJURY,0,0,0,0,0,2,0,2,1,11,41.792944888,-87.588133329,POINT (-87.588133328649 41.792944887838)
JB511596,,11/11/2018 02:15:00 AM,30,NO CONTROLS,NO CONTROLS,CLEAR,DARKNESS,OTHER OBJECT,DIVIDED - W/MEDIAN (NOT RAISED),,STRAIGHT ON GRADE,DRY,"RUT, HOLES",ON SCENE,NO INJURY / DRIVE AWAY,,,,$500 OR LESS,11/11/2018 02:20:00 AM,NOT APPLICABLE,NOT APPLICABLE,12500,S,DOTY AVE E,532,,,,,,,1,NO INDICATION OF INJURY,0,0,0,0,0,1,0,2,1,11,41.667773287,-87.595210219,POINT (-87.595210219237 41.667773286652)
JB511598,,11/11/2018 02:10:00 AM,35,LANE USE MARKING,FUNCTIONING PROPERLY,CLEAR,"DARKNESS, LIGHTED ROAD",FIXED OBJECT,DIVIDED - W/MEDIAN BARRIER,4,"CURVE, LEVEL",DRY,NO DEFECTS,ON SCENE,INJURY AND / OR TOW DUE TO CRASH,,,,"OVER $1,500",11/11/2018 02:10:00 AM,DRIVING SKILLS/KNOWLEDGE/EXPERIENCE,NOT APPLICABLE,3340,S,WESTERN AVE,911,,,,,,,1,NO INDICATION OF INJURY,0,0,0,0,0,1,0,2,1,11,41.832649203,-87.6852315,POINT (-87.685231499813 41.832649202952)
JB511587,,11/11/2018 02:00:00 AM,35,NO CONTROLS,NO CONTROLS,CLEAR,"DARKNESS, LIGHTED ROAD",PARKED MOTOR VEHICLE,NOT DIVIDED,2,STRAIGHT AND LEVEL,DRY,NO DEFECTS,ON SCENE,INJURY AND / OR TOW DUE TO CRASH,,,Y,"OVER $1,500",11/11/2018 02:07:00 AM,UNDER THE INFLUENCE OF ALCOHOL/DRUGS (USE WHEN ARREST IS EFFECTED),UNABLE TO DETERMINE,8020,S,JEFFERY BLVD,414,,,,,,,2,NO INDICATION OF INJURY,0,0,0,0,0,1,0,2,1,11,41.74913186,-87.576086133,POINT (-87.576086132663 41.749131860223)
JB511577,,11/11/2018 01:50:00 AM,30,NO CONTROLS,NO CONTROLS,CLEAR,"DARKNESS, LIGHTED ROAD",REAR END,DIVIDED - W/MEDIAN BARRIER,2,STRAIGHT AND LEVEL,DRY,NO DEFECTS,ON SCENE,NO INJURY / DRIVE AWAY,,,Y,"OVER $1,500",11/11/2018 01:51:00 AM,FAILING TO REDUCE SPEED TO AVOID CRASH,UNABLE TO DETERMINE,5000,S,WESTERN BLVD,923,,,,,,,2,NO INDICATION OF INJURY,0,0,0,0,0,2,0,1,1,11,41.802911342,-87.683849579,POINT (-87.683849578595 41.802911341924)
JB511592,,11/11/2018 01:47:00 AM,30,NO CONTROLS,NO CONTROLS,CLEAR,DARKNESS,FIXED OBJECT,NOT DIVIDED,2,STRAIGHT AND LEVEL,DRY,"RUT, HOLES",ON SCENE,INJURY AND / OR TOW DUE TO CRASH,,,,"$501 - $1,500",11/11/2018 02:20:00 AM,ROAD ENGINEERING/SURFACE/MARKING DEFECTS,NOT APPLICABLE,12500,S,DOTY AVE W,532,,,,,,,1,NO INDICATION OF INJURY,0,0,0,0,0,1,0,1,1,11,41.667681253,-87.596045593,POINT (-87.596045593363 41.667681253073)
